// ===== SPIRITS =====
#Spirits|Canadian Whisky|Liquor Store
Macieira Royal Spirit Brandy|750ml|36.25
De Valcourt Napoleon VSOP Brandy|750ml|31.45
Torres Brandy 10 Year|750ml|31.15
Antiqua VSOP Aguardente Vinica Vehla|700ml|36.95
Arhontiko Makedonias Tsipouro|700ml|37.95
Aged Tsipouro Katsaros Family Brandy|700ml|149.90
Zwack Unicum Slivovitz 3 Year|750ml|39.40
Navip Slivovitz 5 Year Plum Brandy|750ml|35.45
Stara Sokolova Brandy|700ml|44.10
Calvados Boulard Pays d'Auge Brandy|750ml|54.95
Spirit In Niagara Sweet Pear Eau-de-Vie Brandy|750ml|40.00
Velha Guarda Aguardente Velha 5 Year|750ml|39.95
Stock 84 Brandy|1.14L|45.80
Kardasi Tsipouro Tirnavou No Anise|750ml|41.30
Spirit Of York Aquavit|750ml|49.95
Wise Grus Quince Brandy|700ml|75.95
Badel Hrvatska Stara Slijivovica|750ml|34.95
Small Cask Brandy|1.14L|46.80
St Remy XO Brandy|375ml|20.95
St Remy XO Brandy|750ml|37.45
St Remy VSOP Brandy|200ml|12.45
St Remy VSOP Brandy|750ml|30.45
St Remy VSOP Brandy|1.14L|47.45
